# # q/A,25.0fs,50.0fs,60.0fs,70.0fs,80.0fs,90.0fs,100.0
# 
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00741878,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.01483757,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.02225635,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.02967514,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.03709392,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.04451271,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.05193149,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.05935027,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.06676906,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.07418784,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.08160663,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.08902541,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.09644420,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.10386298,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.11128177,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.11870055,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.12611933,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.13353812,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.14095690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.14837569,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.15579447,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.16321326,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.17063204,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.17805082,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.18546961,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.19288839,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.20030718,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.20772596,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.21514475,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.22256353,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.22998232,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.23740110,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.24481988,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.25223867,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.25965745,0.00468073,0.00412247,0.00301399,0.00302655,0.00356275,0.00369572,0.00369123
0.26707624,0.00488954,0.00406138,0.00335320,0.00333770,0.00382832,0.00377002,0.00386147
0.27449502,0.00510546,0.00392994,0.00330607,0.00330350,0.00370534,0.00375032,0.00379795
0.28191381,0.00479868,0.00391374,0.00322511,0.00321766,0.00367556,0.00368924,0.00376828
0.28933259,0.00464439,0.00377473,0.00320006,0.00321611,0.00364317,0.00366407,0.00371936
0.29675137,0.00451740,0.00376404,0.00315672,0.00316128,0.00367423,0.00367305,0.00372887
0.30417016,0.00443095,0.00372418,0.00313745,0.00316196,0.00363211,0.00367862,0.00374610
0.31158894,0.00420921,0.00366120,0.00311979,0.00311966,0.00364615,0.00372028,0.00375592
0.31900773,0.00427143,0.00372648,0.00314120,0.00316019,0.00370738,0.00379684,0.00380763
0.32642651,0.00423987,0.00365258,0.00311040,0.00312449,0.00367922,0.00377990,0.00379928
0.33384530,0.00430727,0.00367203,0.00315691,0.00317882,0.00375006,0.00382907,0.00386166
0.34126408,0.00416188,0.00365258,0.00314238,0.00315936,0.00376334,0.00385149,0.00387533
0.34868287,0.00411897,0.00361184,0.00314596,0.00315989,0.00375560,0.00388846,0.00389445
0.35610165,0.00371210,0.00359649,0.00313805,0.00316867,0.00379101,0.00390499,0.00392128
0.36352043,0.00401789,0.00357247,0.00312851,0.00316119,0.00381116,0.00392819,0.00394294
0.37093922,0.00408067,0.00357457,0.00313785,0.00316977,0.00382923,0.00395279,0.00395860
0.37835800,0.00404396,0.00361022,0.00317421,0.00320622,0.00385987,0.00399153,0.00401086
0.38577679,0.00402140,0.00353445,0.00313280,0.00316516,0.00384397,0.00397502,0.00398637
0.39319557,0.00398224,0.00354971,0.00315998,0.00321888,0.00387034,0.00401172,0.00402917
0.40061436,0.00396039,0.00354794,0.00320183,0.00324913,0.00392090,0.00403583,0.00406098
0.40803314,0.00415929,0.00355153,0.00319444,0.00324286,0.00391560,0.00406831,0.00409534
0.41545192,0.00387631,0.00350517,0.00318349,0.00323992,0.00395599,0.00408835,0.00410383
0.42287071,0.00375222,0.00351219,0.00320268,0.00325182,0.00398728,0.00413267,0.00413467
0.43028949,0.00377404,0.00348438,0.00321571,0.00326633,0.00397829,0.00413068,0.00413103
0.43770828,0.00384148,0.00345776,0.00319411,0.00326826,0.00396198,0.00412037,0.00413825
0.44512706,0.00374284,0.00353535,0.00326235,0.00333010,0.00399107,0.00415872,0.00419106
0.45254585,0.00393693,0.00351988,0.00327826,0.00334327,0.00403136,0.00418588,0.00422068
0.45996463,0.00380074,0.00355543,0.00330574,0.00337882,0.00404714,0.00420351,0.00423226
0.46738342,0.00383805,0.00348505,0.00327727,0.00334518,0.00401107,0.00420013,0.00422903
0.47480220,0.00365521,0.00347871,0.00330047,0.00337130,0.00404529,0.00422840,0.00425441
0.48222098,0.00381480,0.00351687,0.00333960,0.00341717,0.00409228,0.00425048,0.00428186
0.48963977,0.00375707,0.00351360,0.00334075,0.00342033,0.00408271,0.00425365,0.00429387
0.49705855,0.00370129,0.00347608,0.00334444,0.00342157,0.00408702,0.00426168,0.00428113
0.50447734,0.00366638,0.00347050,0.00334478,0.00342427,0.00411974,0.00428147,0.00429694
0.51189612,0.00356403,0.00349261,0.00337522,0.00344947,0.00411303,0.00430043,0.00431466
0.51931491,0.00374809,0.00350463,0.00343277,0.00350913,0.00415703,0.00431677,0.00435527
0.52673369,0.00371034,0.00349030,0.00341370,0.00350378,0.00414453,0.00432653,0.00434689
0.53415247,0.00373501,0.00349023,0.00342718,0.00352362,0.00415421,0.00433136,0.00435451
0.54157126,0.00359388,0.00350588,0.00345575,0.00354206,0.00419169,0.00434476,0.00438473
0.54899004,0.00370195,0.00351615,0.00346663,0.00354575,0.00420667,0.00435834,0.00440725
